,item_name,First_Part,Type
285,BECOZINC-M - Strip of 10 Tablets,BECOZINCM,STRIPOF10TABLETS
286,Becozym C Forte - Strip of 15 Tablets,BECOZYMCFORTE,STRIPOF15TABLETS
287,Becozym C Forte - Strip of 15 Tablets,BECOZYMCFORTE,STRIPOF15TABLETS
288,Becozyme -15 -Strip of 15 Tablets,BECOZYME15,STRIPOF15TABLETS
289,Becozyme C Forte - Strip of 15 Tablets,BECOZYMECFORTE,STRIPOF15TABLETS
290,BECTOMUS - Strip of 10 Capsules,BECTOMUS,STRIPOF10CAPSULES
291,BECUTE - Strip of 10 Capsules,BECUTE,STRIPOF10CAPSULES
292,Becute 2K Plus - Strip of 10 Capsules,BECUTE2KPLUS,STRIPOF10CAPSULES
293,Bee Max-XT - Strip of 10 Tablets,BEEMAXXT,STRIPOF10TABLETS
294,Bee Max-XT - Strip of 10 Tablets,BEEMAXXT,STRIPOF10TABLETS
295,Beens Mom - Pack of 200g Powder,BEENSMOM,PACKOF200GPOWDER
296,BEEPRED 4MG - Strip of 10 Tablets,BEEPRED4MG,STRIPOF10TABLETS
297,BEE-RESQ - Strip of 10 Tablets,BEERESQ,STRIPOF10TABLETS
298,Befadox - Strip of 10 Tablets,BEFADOX,STRIPOF10TABLETS
299,Befer - Bottle of 15ml Drops,BEFER,BOTTLEOF15MLDROPS
300,Befer - Bottle of 200 ml Syrup,BEFER,BOTTLEOF200MLSYRUP
301,Befer - Strip of 10 Tablets,BEFER,STRIPOF10TABLETS
302,Befullvit-Gold - Strip of 10 Tablets,BEFULLVITGOLD,STRIPOF10TABLETS
303,Begamine-M - Strip of 10 Capsules,BEGAMINEM,STRIPOF10CAPSULES
304,Beipos - Bottle of 5 ml Eye Drops,BEIPOS,BOTTLEOF5MLEYEDROPS
305,Beipos - Strip of 10 Tablets,BEIPOS,STRIPOF10TABLETS
306,Beistyn 500 - Strip of 10 Capsules,BEISTYN500,STRIPOF10CAPSULES
307,Bel Nerve - Strip of 10 Tablets,BELNERVE,STRIPOF10TABLETS
308,BELAR - Strip of 10 Tablets,BELAR,STRIPOF10TABLETS
309,BELAR FORTE - Strip of 10 Tablets,BELARFORTE,STRIPOF10TABLETS
310,Belar-Forte 1Mg - Strip of 10 Tablets,BELARFORTE1MG,STRIPOF10TABLETS
311,BELATIN 20MG - Strip of 10 Tablets,BELATIN20MG,STRIPOF10TABLETS
312,Belatin-M - Strip of 10 Tablets,BELATINM,STRIPOF10TABLETS
313,Belbact - Tube of 10 gm Cream,BELBACT,TUBEOF10GMCREAM
314,Belclin-A - Tube of 15 gm Gel,BELCLINA,TUBEOF15GMGEL
315,Belfexin 180mg - Strip of 10 Tablets,BELFEXIN180MG,STRIPOF10TABLETS
316,Belglow - Bottle of 75g Soap,BELGLOW,BOTTLEOF75GSOAP
317,Belic - Strip of 10 Tablets,BELIC,STRIPOF10TABLETS
318,Belitra - Strip of 7 Capsules,BELITRA,STRIPOF7CAPSULES
319,BELITRA-200 - Strip of 10 Capsules,BELITRA200,STRIPOF10CAPSULES
320,Bell-Fluconazole 0.3% - Bottle of 5ml Eye/Ear Drops,BELLFLUCONAZOLE0.3%,BOTTLEOF5MLEYE/EARDROPS
321,Bell-Fluconazole 0.3% - Bottle of 5ml Eye/Ear Drops,BELLFLUCONAZOLE0.3%,BOTTLEOF5MLEYE/EARDROPS
322,Bellissa - Bottle of 100 gm Moisturising Lotion,BELLISSA,BOTTLEOF100GMMOISTURISINGLOTION
323,Bellissa - Bottle of 75g Baby Soap,BELLISSA,BOTTLEOF75GBABYSOAP
324,Bellissa - Pack of 75 g Psoria Soap,BELLISSA,PACKOF75GPSORIASOAP
325,Bellissa - Pack of 75 g Soap,BELLISSA,PACKOF75GSOAP
326,Bellissa - Pack of 75 gm Acne Soap,BELLISSA,PACKOF75GMACNESOAP
327,Bellissa - Pack of 75g Soap,BELLISSA,PACKOF75GSOAP
328,Bellissa - Tube of 20gm Lite Cream,BELLISSA,TUBEOF20GMLITECREAM
329,Bellissa - Tube of 60 g Lite Cleanser,BELLISSA,TUBEOF60GLITECLEANSER
330,Bellissa - Tube of 60 gm Lite Cleanser,BELLISSA,TUBEOF60GMLITECLEANSER
331,Bellissa Lite - Tube of 20g Cream,BELLISSALITE,TUBEOF20GCREAM
332,Bellissa Psoria - Pack of 75g Soap,BELLISSAPSORIA,PACKOF75GSOAP
333,Bello-20 - Strip of 10 Tablets,BELLO20,STRIPOF10TABLETS
334,Bello-D - Strip of 10 Capsules,BELLOD,STRIPOF10CAPSULES
335,Bellpino Atrin - Tube of 3g Ointment,BELLPINOATRIN,TUBEOF3GOINTMENT
336,BellPino-Atrin 1% - Bottle of 5 ml Eye Drops,BELLPINOATRIN1%,BOTTLEOF5MLEYEDROPS
337,Bellywell-M - Strip of 10 Tablets,BELLYWELLM,STRIPOF10TABLETS
338,BELOC TR 40 - Strip of 10 Tablets,BELOCTR40,STRIPOF10TABLETS
339,Belol XL 50 mg - Strip of 10 Tablets,BELOLXL50MG,STRIPOF10TABLETS
340,BELSALIC - Tube of 20 gm Ointment,BELSALIC,TUBEOF20GMOINTMENT
341,Belsonate - Tube of 20 gm Cream,BELSONATE,TUBEOF20GMCREAM
342,Beltas - Strip of 10 Tablets,BELTAS,STRIPOF10TABLETS
343,Beltas Forte 40 - Strip of 10 Tablets,BELTASFORTE40,STRIPOF10TABLETS
344,Belzole - Bottle of 60 ml Shampoo,BELZOLE,BOTTLEOF60MLSHAMPOO
345,Belzole - Pack of 75gm Soap,BELZOLE,PACKOF75GMSOAP
346,BELZOLE 2% W/W - Tube of 30 gm Cream,BELZOLE2%W/W,TUBEOF30GMCREAM
347,Beminal - Bottle of 100ml Syrup,BEMINAL,BOTTLEOF100MLSYRUP
348,Beminal - Bottle of 200ml Syrup,BEMINAL,BOTTLEOF200MLSYRUP
349,Beminal Forte - Strip of 10 Tablets,BEMINALFORTE,STRIPOF10TABLETS
350,Beminal Total - Strip of 10 Tablets,BEMINALTOTAL,STRIPOF10TABLETS
351,Ben Q Met Forte - Strip of 10 Tablets,BENQMETFORTE,STRIPOF10TABLETS
352,Ben Q Met Forte - Strip of 10 Tablets,BENQMETFORTE,STRIPOF10TABLETS
353,Benadon 40mg - Strip of 10 Tablets,BENADON40MG,STRIPOF10TABLETS
354,Benadryl - Bottle of 100 ml Syrup,BENADRYL,BOTTLEOF100MLSYRUP
355,Benadryl - Bottle of 150 ml Syrup,BENADRYL,BOTTLEOF150MLSYRUP
356,Benadryl - Bottle of 450 ml Syrup,BENADRYL,BOTTLEOF450MLSYRUP
357,Benadryl - Bottle of 50 ml Syrup,BENADRYL,BOTTLEOF50MLSYRUP
358,Benadryl DR 10MG New Honey & Lemon Flav - Strip of 4 Cough Lozenges,BENADRYLDR10MGNEWHONEY&LEMONFLAV,STRIPOF4COUGHLOZENGES
359,BENADRYL DR 15 MG - Bottle of 50 ML Syrup,BENADRYLDR15MG,BOTTLEOF50MLSYRUP
360,BENADRYL DR 15mg - Bottle of 100ml Syrup,BENADRYLDR15MG,BOTTLEOF100MLSYRUP
361,Benalgis - Strip of 10 Tablets,BENALGIS,STRIPOF10TABLETS
362,BENALGIS 75mg - Strip of 10 Tablets,BENALGIS75MG,STRIPOF10TABLETS
363,Benalgis Forte - Bottle of 15 Capsules,BENALGISFORTE,BOTTLEOF15CAPSULES
364,Bencan - Strip of 10 Capsules,BENCAN,STRIPOF10CAPSULES
365,Bencap Forte - Strip of 10 Capsules,BENCAPFORTE,STRIPOF10CAPSULES
366,Bencid - Strip of 10 Tablets,BENCID,STRIPOF10TABLETS
367,Bendex - Bottle of 10 ml Suspension,BENDEX,BOTTLEOF10MLSUSPENSION
368,Bendex 400 - Strip of 1 Tablets,BENDEX400,STRIPOF1TABLETS
369,Bendex Plus - Strip of 1 Tablet,BENDEXPLUS,STRIPOF1TABLET
370,Benecef-500mg - Strip of 6 Tablets,BENECEF500MG,STRIPOF6TABLETS
371,Beneficiale - Bottle of 100 Ml Liquid,BENEFICIALE,BOTTLEOF100MLLIQUID
372,Beneficiale - Bottle of 15 ml Drops,BENEFICIALE,BOTTLEOF15MLDROPS
373,Beneficiale - Bottle of 200 Ml Liquid,BENEFICIALE,BOTTLEOF200MLLIQUID
374,Beneficiale - Bottle of 200ml Liquid,BENEFICIALE,BOTTLEOF200MLLIQUID
375,Beneficiale - Strip of 15 Capsules,BENEFICIALE,STRIPOF15CAPSULES
376,BENEFIT - Strip of 10 Tablets,BENEFIT,STRIPOF10TABLETS
377,BENEFIT D - Pack of 200 gm Powder,BENEFITD,PACKOF200GMPOWDER
378,Benegut - Bottle of 12*5ml Suspension,BENEGUT,BOTTLEOF12*5MLSUSPENSION
379,Benegut - Bottle of 5ml Oral Suspension,BENEGUT,BOTTLEOF5MLORALSUSPENSION
380,Benepack 4 - Strip of 15 Tablets,BENEPACK4,STRIPOF15TABLETS
381,Benepack 8 - Strip of 15 Tablets,BENEPACK8,STRIPOF15TABLETS
382,BENEPACK T 4/40 - Strip of 15 Tablets,BENEPACKT4/40,STRIPOF15TABLETS
383,Beneria - Tube of 30gm Gel,BENERIA,TUBEOF30GMGEL
384,Benfato OD - Strip of 10 Tablets,BENFATOOD,STRIPOF10TABLETS
385,BENFICA - Strip of 10 Capsules,BENFICA,STRIPOF10CAPSULES
386,Benfica Forte - Strip of 10 Capsules,BENFICAFORTE,STRIPOF10CAPSULES
387,Benfica Forte - Strip of 10 Capsules,BENFICAFORTE,STRIPOF10CAPSULES
388,Benfocare - Strip of 10 Capsules,BENFOCARE,STRIPOF10CAPSULES
389,Benfoceum - Strip of 10 Capsules,BENFOCEUM,STRIPOF10CAPSULES
390,BENFOCHOICE - Strip of 10 Tablets,BENFOCHOICE,STRIPOF10TABLETS
391,Benfogen - Strip of 10 Capsules,BENFOGEN,STRIPOF10CAPSULES
392,Benfokind - Strip of 10 Capsules,BENFOKIND,STRIPOF10CAPSULES
393,Benfolyst - Strip of 10 Capsules,BENFOLYST,STRIPOF10CAPSULES
394,BENFOLYST-D - Strip of 10 Tablets,BENFOLYSTD,STRIPOF10TABLETS
395,Benfomega - Strip of 10 Capsules,BENFOMEGA,STRIPOF10CAPSULES
396,Benfomega XL - Strip of 10 Capsules,BENFOMEGAXL,STRIPOF10CAPSULES
397,Benfomet - Strip of 10 Capsules,BENFOMET,STRIPOF10CAPSULES
398,Benfomet Forte - Strip of 10 Tablets,BENFOMETFORTE,STRIPOF10TABLETS
399,Benfomet Plus - Strip of 10 Tablets,BENFOMETPLUS,STRIPOF10TABLETS
400,Benfonar - Strip of 10 Capsules,BENFONAR,STRIPOF10CAPSULES
401,Benfonyle - Strip of 10 Capsules,BENFONYLE,STRIPOF10CAPSULES
402,Benforce-M - Strip of 10 Tablets,BENFORCEM,STRIPOF10TABLETS
403,Benfosafe - Strip of 10 Tablets,BENFOSAFE,STRIPOF10TABLETS
404,Benfostar - Strip of 10 Capsules,BENFOSTAR,STRIPOF10CAPSULES
405,Benfostar - Strip of 10 Tablets,BENFOSTAR,STRIPOF10TABLETS
406,Benfosules - Strip of 10 Capsules,BENFOSULES,STRIPOF10CAPSULES
407,BENFOTABS - Strip of 10 Tablets,BENFOTABS,STRIPOF10TABLETS
408,BENFOVIT - Strip of 10 Capsules,BENFOVIT,STRIPOF10CAPSULES
409,Bengel 2.5% m - Tube of 30 gm Cream,BENGEL2.5%M,TUBEOF30GMCREAM
410,Bengel AC 2.5% - Tube of 30g Gel,BENGELAC2.5%,TUBEOF30GGEL
411,BENGREAT-4MG - Strip of 10 Tablets,BENGREAT4MG,STRIPOF10TABLETS
412,Bengreat-8MG - Strip of 10 Tablets,BENGREAT8MG,STRIPOF10TABLETS
413,Benibuz-8 - Strip of 10 Tablets,BENIBUZ8,STRIPOF10TABLETS
414,Benidin 4 - Strip of 10 Tablets,BENIDIN4,STRIPOF10TABLETS
415,Benidin 4 - Strip of 15 Tablets,BENIDIN4,STRIPOF15TABLETS
416,Benidin 8 - Strip of 10 Tablets,BENIDIN8,STRIPOF10TABLETS
417,Benidin 8 - Strip of 15 Tablets,BENIDIN8,STRIPOF15TABLETS
418,Benidin M 25 - Strip of 10 Tablets,BENIDINM25,STRIPOF10TABLETS
419,Benidin M 50 - Strip of 10 Tablets,BENIDINM50,STRIPOF10TABLETS
420,Benidin M 50 - Strip of 15 Tablets,BENIDINM50,STRIPOF15TABLETS
421,Benidin M 50 - Strip of 15 Tablets,BENIDINM50,STRIPOF15TABLETS
422,Benidin T - Strip of 10 Tablets,BENIDINT,STRIPOF10TABLETS
423,Beniduce 4 - Strip of 10 Tablets,BENIDUCE4,STRIPOF10TABLETS
424,Beniduce 8 - Strip of 10 Tablets,BENIDUCE8,STRIPOF10TABLETS
425,BENIFLO 4MG - Strip of 10 Tablets,BENIFLO4MG,STRIPOF10TABLETS
426,Beniflo 4MG - Strip of 15 Tablets,BENIFLO4MG,STRIPOF15TABLETS
427,BENIFLO 8MG - Strip of 15 Tablets,BENIFLO8MG,STRIPOF15TABLETS
428,Benilio Forte - Strip of 10 Tablets,BENILIOFORTE,STRIPOF10TABLETS
429,Benilio Forte - Strip of 10 Tablets,BENILIOFORTE,STRIPOF10TABLETS
430,Benipack 4 - Strip of 15 Tablets,BENIPACK4,STRIPOF15TABLETS
431,Benipack 8mg - Strip of 15 Tablets,BENIPACK8MG,STRIPOF15TABLETS
432,Benipath 4mg - Strip of 10 Tablets,BENIPATH4MG,STRIPOF10TABLETS
433,Benipel-4mg - Strip of 10 Tablets,BENIPEL4MG,STRIPOF10TABLETS
434,Benipres 4mg - Strip of 30 Tablets,BENIPRES4MG,STRIPOF30TABLETS
435,Benipres 8mg - Bottle of 30 Tablets,BENIPRES8MG,BOTTLEOF30TABLETS
436,BENISTAR 4MG - Strip of 10 Tablets,BENISTAR4MG,STRIPOF10TABLETS
437,Benisto 4mg - Strip of 10 Tablets,BENISTO4MG,STRIPOF10TABLETS
438,Benitec A - Strip of 10 Tablets,BENITECA,STRIPOF10TABLETS
439,Benitowa 4 - Strip of 10 Tablets,BENITOWA4,STRIPOF10TABLETS
440,Benitowa 4 - Strip of 15 Tablets,BENITOWA4,STRIPOF15TABLETS
441,BENITOWA 4 - Strip of 15 Tablets,BENITOWA4,STRIPOF15TABLETS
442,Benitowa 8 - Strip of 10 Tablets,BENITOWA8,STRIPOF10TABLETS
443,Benitowa 8 - Strip of 15 Tablets,BENITOWA8,STRIPOF15TABLETS
444,Benitowa Beta 25 - Strip of 10 Tablets,BENITOWABETA25,STRIPOF10TABLETS
445,Benitowa Beta 25 - Strip of 15 Tablets,BENITOWABETA25,STRIPOF15TABLETS
446,Benitowa CH - Strip of 15 Tablets,BENITOWACH,STRIPOF15TABLETS
447,BENITOWA TM 4/40 - Strip of 15 Tablets,BENITOWATM4/40,STRIPOF15TABLETS
448,Benitowa Trio - Strip of 10 Tablets,BENITOWATRIO,STRIPOF10TABLETS
449,Benitowa Trio - Strip of 15 Tablets,BENITOWATRIO,STRIPOF15TABLETS
450,BENITOWA-BETA 50MG - Strip of 10 Tablets,BENITOWABETA50MG,STRIPOF10TABLETS
451,BENITOWA-BETA 50MG - Strip of 15 Tablets,BENITOWABETA50MG,STRIPOF15TABLETS
452,Benitowa-CH - Strip of 10 Tablets,BENITOWACH,STRIPOF10TABLETS
453,Benitowa-TM - Strip of 10 Tablets,BENITOWATM,STRIPOF10TABLETS
454,Benlong-4 - Strip of 10 Tablets,BENLONG4,STRIPOF10TABLETS
455,Benlong-8 - Strip of 10 Tablets,BENLONG8,STRIPOF10TABLETS
456,Benmac - Strip of 10 Tablets,BENMAC,STRIPOF10TABLETS
457,Benmec - Strip of 10 Capsules,BENMEC,STRIPOF10CAPSULES
458,Benmont L - Strip of 10 Tablets,BENMONTL,STRIPOF10TABLETS
459,Benoquin - Tube of 30g Cream,BENOQUIN,TUBEOF30GCREAM
460,Benoquin - Tube of 30g Cream,BENOQUIN,TUBEOF30GCREAM
461,Bensoft-C - Tube of 20g Gel,BENSOFTC,TUBEOF20GGEL
462,BenTablet Plus - Strip of 10 Tablets,BENTABLETPLUS,STRIPOF10TABLETS
463,BenTablet Plus - Strip of 10 Tablets,BENTABLETPLUS,STRIPOF10TABLETS
464,BENTHAI FORTE - Strip of 10 Capsules,BENTHAIFORTE,STRIPOF10CAPSULES
465,Benther - Ampoule of 2 ml,BENTHER,AMPOULEOF2ML
466,Bentonite Plus - Strip of 10 Tablets,BENTONITEPLUS,STRIPOF10TABLETS
467,Bentoz 20MG - Strip of 15 Tablets,BENTOZ20MG,STRIPOF15TABLETS
468,Benuvo - Strip of 10 Tablets,BENUVO,STRIPOF10TABLETS
469,Benvika Forte - Strip of 10 Tablets,BENVIKAFORTE,STRIPOF10TABLETS
470,Benvika Forte - Strip of 10 Tablets,BENVIKAFORTE,STRIPOF10TABLETS
471,BENXL - Strip of 10 Tablets,BENXL,STRIPOF10TABLETS
472,BENXOP - Tube of 2.5 gm Gel,BENXOP,TUBEOF2.5GMGEL
473,Benxop 5 - Tube of 20 gm Gel,BENXOP5,TUBEOF20GMGEL
474,BENZ - Strip of 12 Capsules,BENZ,STRIPOF12CAPSULES
475,BENZ ADP - Tube of 15g Gel,BENZADP,TUBEOF15GGEL
476,Benz ADP - Tube of 30 gm Gel,BENZADP,TUBEOF30GMGEL
477,BENZ PEARLS 100MG - Strip of 10 Capsules,BENZPEARLS100MG,STRIPOF10CAPSULES
478,Benzac AC 2.5% - Tube of 20 gm Gel,BENZACAC2.5%,TUBEOF20GMGEL
479,BENZAC AC 2.5% - Tube of 30 gm Gel,BENZACAC2.5%,TUBEOF30GMGEL
480,Benzac AC 2.5% - Tube of 30g Gel,BENZACAC2.5%,TUBEOF30GGEL
481,Benzac AC 5% - Tube of 15 gm Gel,BENZACAC5%,TUBEOF15GMGEL
482,Benzac AC 5% - Tube of 20gm Gel,BENZACAC5%,TUBEOF20GMGEL
483,BENZAC AC 5% - Tube of 30 gm Gel,BENZACAC5%,TUBEOF30GMGEL
484,Benzac AC 5% - Tube of 30g Gel,BENZACAC5%,TUBEOF30GGEL
485,BENZADAF - Tube of 15 gm Gel,BENZADAF,TUBEOF15GMGEL
486,BENZER 2.5% - Tube of 15g Gel,BENZER2.5%,TUBEOF15GGEL
487,Benzoflamm - Tube of 30g Gel,BENZOFLAMM,TUBEOF30GGEL
488,Benzoheal-5 - Tube of 20gm Gel,BENZOHEAL5,TUBEOF20GMGEL
489,Benzol 10% - Bottle of 60ml Lotion,BENZOL10%,BOTTLEOF60MLLOTION
490,BENZON OZ - Strip of 10 Tablets,BENZONOZ,STRIPOF10TABLETS
491,Benzonext 2.5% - Tube of 20 gm Cream,BENZONEXT2.5%,TUBEOF20GMCREAM
492,Benzonext 5% - Tube of 20 gm Cream,BENZONEXT5%,TUBEOF20GMCREAM
493,Benzonix - Tube of 50 gm Gel Wash,BENZONIX,TUBEOF50GMGELWASH
494,Benzoxide 2.5% - Tube of 20gm Gel,BENZOXIDE2.5%,TUBEOF20GMGEL
495,Benzoxide 5% - Tube of 20gm Gel,BENZOXIDE5%,TUBEOF20GMGEL
496,Benzyzine - Strip of 10 Tablets,BENZYZINE,STRIPOF10TABLETS
497,BEPARINE - Vial of 25000 IU Injection,BEPARINE,VIALOF25000IUINJECTION
498,Beparine - Vial of 5 ml Injection,BEPARINE,VIALOF5MLINJECTION
499,BEPEROX - Tube of 15 gm Duo Gel,BEPEROX,TUBEOF15GMDUOGEL
500,Beplex Forte - Strip of 20 Tablets,BEPLEXFORTE,STRIPOF20TABLETS
501,BEPLEX FORTE - Vial of 10 ml Injection,BEPLEXFORTE,VIALOF10MLINJECTION
502,BEPLEX FORTE - Vial of 2 ml Injection,BEPLEXFORTE,VIALOF2MLINJECTION
503,BEPLEX FORTE MONO - Vial of 11 ML Injection,BEPLEXFORTEMONO,VIALOF11MLINJECTION
504,Beplex Forte Plus Elixir - Bottle of 120ml Syrup,BEPLEXFORTEPLUSELIXIR,BOTTLEOF120MLSYRUP
505,Beplex Lz - Strip of 15 Capsules,BEPLEXLZ,STRIPOF15CAPSULES
506,Beplex Lz - Strip of 15 Capsules,BEPLEXLZ,STRIPOF15CAPSULES
507,Beplex Nu Capsule 10's,BEPLEXNUCAPSULE10'S,
508,Beplex Plus - Vial of 11ml Injection,BEPLEXPLUS,VIALOF11MLINJECTION
509,Beplex Plus Elixir - Bottle of 120ml Syrup,BEPLEXPLUSELIXIR,BOTTLEOF120MLSYRUP
510,Beplex-LZ - Strip of 10 Tablets,BEPLEXLZ,STRIPOF10TABLETS
511,Bepodrops 1.5% w/v - Bottle of 5ml Drops,BEPODROPS1.5%W/V,BOTTLEOF5MLDROPS
512,Bepofree 1.5% - Bottle of 5ml Eye Drops,BEPOFREE1.5%,BOTTLEOF5MLEYEDROPS
513,Bepomac - Strip of 10 Tablets,BEPOMAC,STRIPOF10TABLETS
514,BEPOSURGE 1.5% W/V - Bottle of 5ml Drops,BEPOSURGE1.5%W/V,BOTTLEOF5MLDROPS
515,Bepotime 1.5% W/V - Bottle of 5ml Eye Drops,BEPOTIME1.5%W/V,BOTTLEOF5MLEYEDROPS
516,Bepozal - Strip of 10 Tablets,BEPOZAL,STRIPOF10TABLETS
517,Bepozic - Strip of 10 Tablets,BEPOZIC,STRIPOF10TABLETS
518,BEPRIDE 1MG - Strip of 10 Tablets,BEPRIDE1MG,STRIPOF10TABLETS
519,BEPRIDE 2MG - Strip of 10 Tablets,BEPRIDE2MG,STRIPOF10TABLETS
520,Bepride 4mg - Strip of 10 Tablets,BEPRIDE4MG,STRIPOF10TABLETS
521,Bepride MF - Strip of 10 Tablets,BEPRIDEMF,STRIPOF10TABLETS
522,BEPRIDE SF - Strip of 10 Tablets,BEPRIDESF,STRIPOF10TABLETS
523,Berbeshine - Strip of 10 Tablets,BERBESHINE,STRIPOF10TABLETS
524,Berbicure Softgel - Strip of 10 Capsules,BERBICURESOFTGEL,STRIPOF10CAPSULES
525,Berbitol - Strip of 10 Tablets,BERBITOL,STRIPOF10TABLETS
526,BERIRAB P 300IU - Vial of 2ml Injection,BERIRABP300IU,VIALOF2MLINJECTION
527,Berirab-P 300 IU - Pre-filled Syringe of 300 IU Injection,BERIRABP300IUPRE,FILLEDSYRINGEOF300IUINJECTION
528,BERITOL - Strip of 10 Tablets,BERITOL,STRIPOF10TABLETS
529,Berocin CZ - Strip of 10 Capsules,BEROCINCZ,STRIPOF10CAPSULES
530,Berocin-CZ - Strip of 10 Capsules,BEROCINCZ,STRIPOF10CAPSULES
531,BEROCIN-DZ - Strip of 10 Tablets,BEROCINDZ,STRIPOF10TABLETS
532,Berryvit QZ - Strip of 10 Tablets,BERRYVITQZ,STRIPOF10TABLETS
533,Besicor 2.5 mg - Strip of 10 Tablets,BESICOR2.5MG,STRIPOF10TABLETS
534,Besicor 2.5MG - Strip of 15 Tablets,BESICOR2.5MG,STRIPOF15TABLETS
535,BESICOR 5MG - Strip of 10 Tablets,BESICOR5MG,STRIPOF10TABLETS
536,BESICOR 5MG - Strip of 15 Tablets,BESICOR5MG,STRIPOF15TABLETS
537,BESICOR AM 2.5 - Strip of 15 Tablets,BESICORAM2.5,STRIPOF15TABLETS
538,Besicor AM 5 - Strip of 15 Tablets,BESICORAM5,STRIPOF15TABLETS
539,BESILET-12MG - Strip of 10 Tablets,BESILET12MG,STRIPOF10TABLETS
540,Besilet-6mg - Strip of 10 Tablets,BESILET6MG,STRIPOF10TABLETS
541,Besix - Bottle of 5 ml Eye Drops,BESIX,BOTTLEOF5MLEYEDROPS
542,Besoft Plus - Strip of 10 Tablets,BESOFTPLUS,STRIPOF10TABLETS
543,Bespro - Bottle of 200g Powder,BESPRO,BOTTLEOF200GPOWDER
544,Best 22 - Strip of 15 Tablets,BEST22,STRIPOF15TABLETS
545,Best Beta 25mg - Strip of 10 Tablets,BESTBETA25MG,STRIPOF10TABLETS
546,BEST BETA 50 MG - Strip of 10 Tablets,BESTBETA50MG,STRIPOF10TABLETS
547,Best Beta AM 25MG - Strip of 10 Tablets,BESTBETAAM25MG,STRIPOF10TABLETS
548,Best Neuron - Strip of 15 Capsules,BESTNEURON,STRIPOF15CAPSULES
549,Best Qm - Strip of 10 Tablets,BESTQM,STRIPOF10TABLETS
550,Bestace - Strip of 10 Capsules,BESTACE,STRIPOF10CAPSULES
551,Bestace-Q - Strip of 10 Capsules,BESTACEQ,STRIPOF10CAPSULES
552,Best-Beta-AM 50 - Strip of 10 Tablets,BESTBETAAM50,STRIPOF10TABLETS
553,Besten - Strip of 10 Capsules,BESTEN,STRIPOF10CAPSULES
554,BESTFEX-180 - Strip of 10 Tablets,BESTFEX180,STRIPOF10TABLETS
555,Bestflow-D - Strip of 10 Tablets,BESTFLOWD,STRIPOF10TABLETS
556,Bestiron - Bottle of 15ml Drops,BESTIRON,BOTTLEOF15MLDROPS
557,Bestiron - Bottle of 15ml Drops,BESTIRON,BOTTLEOF15MLDROPS
558,Bestiron - Strip of 10 Tablets,BESTIRON,STRIPOF10TABLETS
559,Bestiron Syrup 1's,BESTIRONSYRUP1'S,
560,Bestogesic 1.16% - Tube of 30g Gel,BESTOGESIC1.16%,TUBEOF30GGEL
561,BESTOGESIC PLUS - Strip of 10 Tablets,BESTOGESICPLUS,STRIPOF10TABLETS
562,BESTOGESIC PLUS - Strip of 10 Tablets,BESTOGESICPLUS,STRIPOF10TABLETS
563,BESTOPICN - Tube of 10g Ointment,BESTOPICN,TUBEOF10GOINTMENT
564,Bestopic-N - Tube of 10gm Cream,BESTOPICN,TUBEOF10GMCREAM
565,Bestor 5 - Strip of 10 Tablets,BESTOR5,STRIPOF10TABLETS
566,Bestor FN 10 - Strip of 10 Tablets,BESTORFN10,STRIPOF10TABLETS
567,Bestor-10 - Strip of 10 Tablets,BESTOR10,STRIPOF10TABLETS
568,Bestor-20 - Strip of 10 Tablets,BESTOR20,STRIPOF10TABLETS
569,Bestovol Inhalent Softgel - Strip of 10 Capsules,BESTOVOLINHALENTSOFTGEL,STRIPOF10CAPSULES
570,Bestozyme - Bottle of 15 ml Drops,BESTOZYME,BOTTLEOF15MLDROPS
571,Bestozyme - Bottle of 200 ml Syrup,BESTOZYME,BOTTLEOF200MLSYRUP
572,Bestozyme - Bottle of 60Ml Paediatric Syrup,BESTOZYME,BOTTLEOF60MLPAEDIATRICSYRUP
573,BESTOZYME - Strip of 15 Capsules,BESTOZYME,STRIPOF15CAPSULES
574,Besule - Strip of 15 Capsules,BESULE,STRIPOF15CAPSULES
575,Beta Anxit- 20 - Strip of 10 Tablets,BETAANXIT20,STRIPOF10TABLETS
576,Beta Ec 25Mg - Strip of 10 Tablets,BETAEC25MG,STRIPOF10TABLETS
577,BETA MET XL 25MG - Strip of 10 Tablets,BETAMETXL25MG,STRIPOF10TABLETS
578,Beta Natural Gentle Protection Immortelle - Bottle of 20ml Intimate Wash,BETANATURALGENTLEPROTECTIONIMMORTELLE,BOTTLEOF20MLINTIMATEWASH
579,BETABEST 25MG AM - Strip of 10 Tablets,BETABEST25MGAM,STRIPOF10TABLETS
580,Betabest AM -50MG - Strip of 10 Tablets,BETABESTAM50MG,STRIPOF10TABLETS
581,Betabest XL 50MG - Strip of 10 Tablets,BETABESTXL50MG,STRIPOF10TABLETS
582,BETABLEST XL 25MG TABLET,BETABLESTXL25MGTABLET,
583,Betabrim - Bottle of 5 ml Drops,BETABRIM,BOTTLEOF5MLDROPS
584,Betacap 10 - Strip of 10 Tablets,BETACAP10,STRIPOF10TABLETS
585,Betacap 20 - Strip of 10 Tablets,BETACAP20,STRIPOF10TABLETS
586,Betacap Plus 10 - Strip of 10 Capsules,BETACAPPLUS10,STRIPOF10CAPSULES
